dim,num_covariate_features,regularization,time_limit,n_train,n_test,holdout_percent,kernel_degree,kernel_noise,num_lambda,num_alpha,trial,best_lambda_SPOplus,best_alpha_SPOplus,spo_loss_SPOplus,least_square_loss_SPOplus,cal_avg_gap_SPOplus,cal_num_of_inf_or_unbd_SPOplus,best_lambda_LSE,best_alpha_LSE,spo_loss_LSE,least_square_loss_LSE,cal_avg_gap_LSE,cal_num_of_inf_or_unbd_LSE,best_lambda_SPOplus_LSE,best_alpha_SPOplus_LSE,spo_loss_SPOplusLSE,least_square_loss_SPOplusLSE,cal_avg_gap_SPOplus_LSE,cal_num_of_inf_or_unbd_SPOplus_LSE
5,5,lasso,120,100,10000,0.25,1,0,10,10,0,1.0000000000000004e-06,,-4.8672177399566864e-17,115.06568102223454,0.0,0,1.0000000000000004e-06,,2.326142584423122,71.32699546561663,0.0,0,1.0000000000000004e-06,1.0000000000000004e-06,0.012452862415880336,75.71928521946249,40.0,0
5,5,lasso,120,100,10000,0.25,1,0,10,10,1,1.0000000000000004e-06,,0.00455176825466963,124.40021451023298,0.0,0,1.0000000000000004e-06,,2.4877631404749523,78.43300531830316,0.0,0,1.0000000000000004e-06,1.0000000000000004e-06,0.005978099461704949,83.52373917787395,30.0,0
5,5,lasso,120,100,10000,0.25,1,0,10,10,2,1.0000000000000004e-06,,0.0003754958095687872,103.75850865879788,0.0,0,1.0000000000000004e-06,,2.123737282707529,64.53048231897557,0.0,0,1.0000000000000004e-06,1.0000000000000004e-06,0.0026532919051992974,68.33458561403944,30.0,0
5,5,lasso,120,100,10000,0.25,1,0,10,10,3,1.0000000000000004e-06,,8.81032448975141e-06,137.16040862977445,0.0,0,1.0000000000000004e-06,,2.490892653863343,91.27495056084825,0.0,0,1.0000000000000004e-06,1.0000000000000004e-06,0.00019222397934543701,90.22832302236928,40.0,0
5,5,lasso,120,100,10000,0.25,1,0,10,10,4,1.0000000000000004e-06,,0.00018685907141262827,109.25822566717133,0.0,0,1.0000000000000004e-06,,2.2961575250655026,82.57143048514004,0.0,0,1.0000000000000004e-06,1.0000000000000004e-06,0.00027249008725989496,74.80799290722291,40.0,0
5,5,lasso,120,100,10000,0.25,1,0.5,10,10,0,1.0000000000000004e-06,,4.9347875936976475,123.5413110793117,0.0,0,1.0000000000000004e-06,,6.315659519394781,359.910882176608,10.0,0,1.0000000000000004e-06,1.0000000000000004e-06,4.934572642473156,281.88015738394057,30.0,0
5,5,lasso,120,100,10000,0.25,1,0.5,10,10,1,0.06309573444801915,,4.446087944342029,100.5118663312409,0.0,0,6.309573444801932e-06,,6.4423470099080875,249.70968379340053,10.0,0,0.06309573444801915,0.0015848931924611108,4.47632450399846,312.8381046226484,0.0,0
5,5,lasso,120,100,10000,0.25,1,0.5,10,10,2,0.009999999999999978,,4.348664359657435,176.88198520717364,0.0,0,1.0000000000000004e-06,,6.443225877942449,357.6158572993607,10.0,0,0.009999999999999978,0.0015848931924611108,4.371362875641756,387.63967202097143,0.0,0
5,5,lasso,120,100,10000,0.25,1,0.5,10,10,3,1.0000000000000004e-06,,4.618762037022566,170.88351702691273,0.0,0,6.309573444801932e-06,,6.370813439000381,272.5117920858057,10.0,0,1.0000000000000004e-06,1.0000000000000004e-06,4.618756543132351,272.528967840625,30.0,0
5,5,lasso,120,100,10000,0.25,1,0.5,10,10,4,0.06309573444801915,,4.638265164386331,170.50838019537426,0.0,0,1.0000000000000004e-06,,6.490110103224188,356.07133101304447,10.0,0,0.06309573444801915,1.0000000000000004e-06,4.639315803039863,395.5381104734106,0.0,0
5,5,lasso,120,100,10000,0.25,2,0,10,10,0,1.0000000000000004e-06,,0.12249786214566977,889.7981459251805,0.0,0,1.0000000000000004e-06,,14.735133865427528,2598.336060559813,20.0,0,1.0000000000000004e-06,1.0000000000000004e-06,0.37159419953273937,4924.052882008152,40.0,0
