dim,num_covariate_features,regularization,time_limit,n_train,n_test,holdout_percent,kernel_degree,kernel_noise,num_lambda,num_alpha,trial,best_lambda_SPOplus,best_alpha_SPOplus,spo_loss_SPOplus,least_square_loss_SPOplus,cal_avg_gap_SPOplus,cal_num_of_inf_or_unbd_SPOplus,best_lambda_LSE,best_alpha_LSE,spo_loss_LSE,least_square_loss_LSE,cal_avg_gap_LSE,cal_num_of_inf_or_unbd_LSE,best_lambda_SPOplus_LSE,best_alpha_SPOplus_LSE,spo_loss_SPOplusLSE,least_square_loss_SPOplusLSE,cal_avg_gap_SPOplus_LSE,cal_num_of_inf_or_unbd_SPOplus_LSE,z_star_sum_test
5,5,lasso,60,100,10000,0.25,1,0,10,10,0,1.0000000000000004e-06,,0.01698535801595208,106.60967733850049,0.0,0,1.0000000000000004e-06,,-1.936228954946273e-17,6.444315400387985e-11,0.0,0,1.0000000000000004e-06,0.00025118864315095774,5.545349906522823e-06,0.0008947487894530795,0.0,0,293976.97783590783
5,5,lasso,60,100,10000,0.25,1,0,10,10,1,1.0000000000000004e-06,,4.428733631133621e-05,158.86856684541908,0.0,0,1.0000000000000004e-06,,3.286260152890463e-17,5.848465121111962e-11,0.0,0,1.0000000000000004e-06,1.0000000000000004e-06,1.734815637800402e-06,7.316691599941568,0.0,0,297380.1115074147
5,5,lasso,60,100,10000,0.25,1,0,10,10,2,1.0000000000000004e-06,,0.004451670088117999,118.35889355281732,0.0,0,1.0000000000000004e-06,,3.1974423109204507e-18,5.1493761061527976e-11,0.0,0,1.0000000000000004e-06,0.00025118864315095774,4.13591624833991e-06,0.0007966871367550868,0.0,0,296331.0454215097
5,5,lasso,60,100,10000,0.25,1,0,10,10,3,1.0000000000000004e-06,,0.0010795477548102223,134.22758279098878,0.0,0,1.0000000000000004e-06,,6.039613253960852e-17,3.934428629071884e-11,0.0,0,1.0000000000000004e-06,1.0000000000000004e-06,0.0010669764575043659,6.667553429009403,0.0,0,297455.7067335667
5,5,lasso,60,100,10000,0.25,1,0,10,10,4,1.0000000000000004e-06,,0.006026415670027872,97.44739384872045,0.0,0,1.0000000000000004e-06,,-6.146194664324866e-17,6.259535510578241e-11,0.0,0,1.0000000000000004e-06,3.98107170553497e-05,0.00013353684735449835,0.038192500609439295,0.0,0,298015.95546144247
5,5,lasso,60,100,10000,0.25,1,0.5,10,10,0,0.06309573444801915,,4.932508051859547,109.21481625856018,0.0,0,1.0000000000000004e-06,,4.49707342688347,28.731702290584334,0.0,0,0.06309573444801915,0.3981071705534959,4.6442467013181075,29.67665805792028,9.090909090909092,0,256868.3056733328
5,5,lasso,60,100,10000,0.25,1,0.5,10,10,1,1.0000000000000004e-06,,4.439878155720094,106.29517004307378,0.0,0,1.0000000000000004e-06,,4.154894787205166,29.05631899311381,0.0,0,1.0000000000000004e-06,0.06309573444801915,4.437016153614941,31.12084119619843,0.0,0,255130.77550811038
5,5,lasso,60,100,10000,0.25,1,0.5,10,10,2,0.0015848931924611108,,4.313685874971369,189.61975952938877,0.0,0,0.3981071705534959,,5.181159625684436,34.205516071058376,0.0,0,0.0015848931924611108,1.0000000000000004e-06,4.31423251589057,70.09924685786211,0.0,0,256128.64377796126
5,5,lasso,60,100,10000,0.25,1,0.5,10,10,3,0.00025118864315095774,,4.579888955802336,5956.134548298264,0.0,0,1.0000000000000004e-06,,4.188939249389971,29.219403577220966,0.0,0,0.00025118864315095774,3.98107170553497e-05,4.547758100792391,578.133553077964,9.090909090909092,0,255939.6888829525
5,5,lasso,60,100,10000,0.25,1,0.5,10,10,4,2.5118864315095704,,6.429796489237057,204.32732080454142,0.0,0,0.3981071705534959,,5.277647664898491,34.0028943988822,0.0,0,2.5118864315095704,1.0000000000000004e-06,6.429796489237057,38.37159129580416,0.0,0,256428.5287758875
5,5,lasso,60,100,10000,0.25,2,0,10,10,0,0.009999999999999978,,0.1327083422472792,731.3641126600181,0.0,0,0.009999999999999978,,0.0981595303621351,10.618211743632056,0.0,0,0.009999999999999978,0.0015848931924611108,0.12303029798519506,188.8109473022153,0.0,0,686381.7950772627
5,5,lasso,60,100,10000,0.25,2,0,10,10,1,1.0000000000000004e-06,,0.1172903575703933,842.1538683884359,0.0,0,1.0000000000000004e-06,,0.0806560926488905,12.207526740825447,0.0,0,1.0000000000000004e-06,1.0000000000000004e-06,0.07614053801451601,72.44442201880408,0.0,0,691483.3199025602
5,5,lasso,60,100,10000,0.25,2,0,10,10,2,0.06309573444801915,,0.15102493606307824,941.148106615036,0.0,0,1.0000000000000004e-06,,0.11490477500455702,15.470988953288305,0.0,0,0.06309573444801915,2.5118864315095704,0.08717963316862906,15.373201073915803,0.0,0,711321.0932152722
5,5,lasso,60,100,10000,0.25,2,0,10,10,3,0.009999999999999978,,0.12374811459232941,1214.708627567975,0.0,0,0.3981071705534959,,0.13508312923433013,28.3995363554692,0.0,0,0.009999999999999978,0.3981071705534959,0.08937026600783902,14.243085018632865,0.0,0,676024.5991174921
5,5,lasso,60,100,10000,0.25,2,0,10,10,4,1.0000000000000004e-06,,0.2922931454594216,823.3070499958527,0.0,0,1.0000000000000004e-06,,0.13856982561314019,12.713438862256584,0.0,0,1.0000000000000004e-06,15.848931924611065,0.13343001886377107,12.708814766893386,0.0,0,685480.0465051992
5,5,lasso,60,100,10000,0.25,2,0.5,10,10,0,0.0015848931924611108,,8.096249179726378,8262.884789416112,0.0,0,1.0000000000000004e-06,,7.233524370799707,234.56206737541376,0.0,0,0.0015848931924611108,15.848931924611065,7.2231895790914775,234.5446837401101,0.0,0,624441.10812321
5,5,lasso,60,100,10000,0.25,2,0.5,10,10,1,1.0000000000000004e-06,,8.719378527945851,1101.6280433184545,0.0,0,1.0000000000000004e-06,,7.399654371430172,232.8941644046221,0.0,0,1.0000000000000004e-06,2.5118864315095704,7.382460242670942,232.98480733460232,0.0,0,628684.5984164396
5,5,lasso,60,100,10000,0.25,2,0.5,10,10,2,0.0015848931924611108,,7.97167833945657,1214.2445755138763,0.0,0,0.3981071705534959,,6.7364023186602076,250.5554880462566,0.0,0,0.0015848931924611108,0.06309573444801915,7.267785321979313,257.6321153457227,0.0,0,625482.4445515693
5,5,lasso,60,100,10000,0.25,2,0.5,10,10,3,0.009999999999999978,,7.99651267517181,4536.761370050095,0.0,0,0.3981071705534959,,7.155138624044512,263.62250384946367,0.0,0,0.009999999999999978,2.5118864315095704,7.051618442932631,251.19462995236657,0.0,0,634789.8815386787
5,5,lasso,60,100,10000,0.25,2,0.5,10,10,4,0.009999999999999978,,7.370851911567125,1059.3157150308143,0.0,0,0.06309573444801915,,6.779179879213123,246.72733502481745,0.0,0,0.009999999999999978,0.3981071705534959,6.781574680417161,247.09935711762733,0.0,0,623261.7405458997
